id;user_type;bu_name;loyalty;user_reg_date;last_event_date;days_since_last_visit;recommendation_generated;recommendation_generated_last_date;map_created;map_created_last_date;map_created_last365days;monitoring_events;monitoring_last_date;monitoring_last365days;field_exploring_events;field_exploring_last_date;field_exploring_last365days;n_active_fields;n_fields;n_farms;total_active_field_area;total_field_area;main_crop;state;region
1;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
5;famer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
6;famer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
7;famer;;;06/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
14;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
24;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
34;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
42;advisor;CC-ERM;Yes;23/07/2022;08/07/2023;1;;;;;;107;04/10/2022;107;119;06/10/2022;119;106;22;5;2823,464672;2823,464672;Spring Wheat;Rio Grande Do Sul;Sul
44;advisor;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
54;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
64;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
71;Advisor;CC-URG;Yes;18/05/2022;08/07/2023;1;;;1;23/05/2022;;563;08/07/2023;457;352;08/07/2023;336;147;42;12;13334,17484;16935,61631;Unknown;Rio Grande Do Sul;Sul
74;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
83;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
93;farmer;;;31/07/2019;08/07/2023;1;;;1;08/07/2023;1;35;08/07/2023;35;36;08/07/2023;36;36;7;1;2246,82598;2390,785132;Other;Rio Grande Do Sul;Sul
103;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
113;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
122;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
131;farmer;;;04/06/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
141;farmer;;;15/06/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
150;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
159;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
169;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
179;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
186;famer;GC-PFB;Yes;06/07/2022;08/07/2023;1;;;8;07/07/2023;6;181;08/07/2023;170;60;08/07/2023;48;64;8;1;1103,280108;1103,280108;Unknown;Rio Grande Do Sul;Sul
189;farmer;;;19/06/2022;08/07/2023;1;;;7;11/01/2023;5;5378;08/07/2023;5151;407;08/07/2023;398;54;10;3;12834,47682;12834,47682;Other;Tocantins;Norte
198;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
207;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
217;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
226;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
235;farmer;;;24/06/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
245;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
255;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
265;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
273;farmer;;;08/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
282;farmer;;;22/03/2022;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
292;farmer;;;07/07/2023;08/07/2023;1;;;;;;;;;;;;0;0;0;0;;;;
301;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
309;advisor;CC-URG;Yes;20/01/2022;07/07/2023;2;;;2;22/06/2022;;165;06/07/2023;124;62;06/07/2023;52;88;14;5;1267,729203;1267,729203;Other;Rio Grande Do Sul;Sul
310;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;1;1;1;5,567956515;5,567956515;Unknown;Maranhão;Nordeste
320;;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
330;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
340;farmer;;;22/06/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
349;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
358;farmer;;;02/08/2019;07/07/2023;2;;;;;;1749;07/07/2023;593;1084;07/07/2023;497;25;140;1;162,6964116;9544,811308;Spring Wheat;Rio Grande Do Sul;Sul
361;advisor;CC-ARX;Yes;18/05/2022;07/07/2023;2;1;09/06/2022;;;;35;07/07/2023;8;58;07/07/2023;5;81;22;9;6251,100179;6362,773132;Other;Minas Gerais;Sudeste
368;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
384;famer;GC-PFB;Yes;01/07/2023;07/07/2023;2;;;;;;;;;10;07/07/2023;10;4;2;1;431,773819;431,773819;Unknown;Rio Grande Do Sul;Sul
386;famer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
396;farmer;;;28/06/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
406;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
416;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
418;farmer;CH-ITP;Yes;22/12/2022;07/07/2023;2;1;22/12/2022;1;22/12/2022;1;285;07/07/2023;285;232;07/07/2023;232;55743;366;6;739867,0067;739975,4042;Unknown;São Paulo;Sudeste
424;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
432;advisor;CC-CVV;Yes;02/06/2022;07/07/2023;2;1;27/03/2023;20;06/07/2023;20;348;07/07/2023;348;781;06/07/2023;781;3428;269;46;150220,9375;197325,5083;Spring Wheat;Santa Catarina;Sul
433;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
443;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
450;advisor;CC-NTQ;Yes;22/08/2019;07/07/2023;2;;;4;05/07/2023;4;148;07/07/2023;148;94;07/07/2023;94;173;20;3;6362,347346;6442,965189;Unknown;Rio Grande Do Sul;Sul
452;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
461;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
471;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
481;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
490;farmer;CC-SER;Yes;09/03/2022;07/07/2023;2;7;01/07/2023;8;10/01/2023;1;132;07/07/2023;41;232;07/07/2023;33;2941;68;3;102312,1446;141599,662;Unknown;Minas Gerais;Sudeste
499;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
508;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
517;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
526;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
535;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
544;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
553;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
562;farmer;;;07/07/2023;07/07/2023;2;;;;;;;;;;;;0;0;0;0;;;;
